GroupID,CoachType,Name,Gender,DOB,Age,BerthPref
201,Sleeper,Rajesh Sharma,M,1984-05-12,41,L
201,Sleeper,Pooja Sharma,F,1988-07-19,37,M
201,Sleeper,Aryan Sharma,M,2012-03-01,13,U

202,3AC,Amit Verma,M,1990-11-22,35,SL
202,3AC,Neha Verma,F,1993-06-15,32,SU

203,2AC,Suresh Iyer,M,1958-01-10,67,L
203,2AC,Meenakshi Iyer,F,1962-09-25,63,L

204,1AC,Arjun Mehta,M,1979-12-30,46,SU

205,Sleeper,Kavita Singh,F,1975-08-14,50,L
205,Sleeper,Rohit Singh,M,2001-02-20,24,U
205,Sleeper,Ananya Singh,F,2006-10-11,19,M
205,Sleeper,Ramesh Singh,M,1968-03-05,57,SL

206,3AC,Vikram Patel,M,1987-04-09,38,SL
206,3AC,Heena Patel,F,1990-12-18,35,SU
206,3AC,Krish Patel,M,2018-07-07,7,L

207,2AC,Deepak Kumar,M,1961-06-21,64,L
207,2AC,Savita Kumar,F,1965-11-02,60,L
207,2AC,Ritu Kumar,F,1995-01-15,30,U

208,Sleeper,Manoj Yadav,M,1982-03-13,43,M
208,Sleeper,Suman Yadav,F,1985-07-29,40,L
208,Sleeper,Riya Yadav,F,2010-09-17,15,U
208,Sleeper,Karan Yadav,M,2013-12-01,12,SL
208,Sleeper,Anil Yadav,M,1955-02-11,70,L

209,1AC,Rahul Khanna,M,1978-10-05,47,L
209,1AC,Simran Khanna,F,1982-03-08,43,U

210,3AC,Nitin Agarwal,M,1992-04-14,33,SL
210,3AC,Sakshi Agarwal,F,1996-06-25,29,SU
210,3AC,Om Agarwal,M,1960-08-09,65,L

211,Sleeper,Shyam Gupta,M,1983-01-01,42,L
211,Sleeper,Rekha Gupta,F,1987-05-22,38,M
211,Sleeper,Tina Gupta,F,2015-11-30,10,U

212,2AC,Harish Nair,M,1959-09-19,66,L
212,2AC,Latha Nair,F,1963-03-27,62,L

213,3AC,Aditya Joshi,M,1999-07-07,26,SU
213,3AC,Priya Joshi,F,2002-02-18,23,SL

214,Sleeper,Sunil Chavan,M,1970-06-06,55,L
214,Sleeper,Geeta Chavan,F,1974-08-09,51,M
214,Sleeper,Amit Chavan,M,2000-12-12,25,U
214,Sleeper,Ravi Chavan,M,2003-01-01,22,SL
214,Sleeper,Suresh Chavan,M,1952-05-05,73,L

215,1AC,Karan Malhotra,M,1986-11-11,39,U
215,1AC,Ritika Malhotra,F,1989-04-04,36,L

216,3AC,Sanjay Das,M,1975-02-28,50,SL
216,3AC,Anita Das,F,1978-09-09,47,SU
216,3AC,Rohit Das,M,2008-06-16,17,M

217,Sleeper,Pankaj Mishra,M,1981-01-17,44,L
217,Sleeper,Sneha Mishra,F,1984-10-21,41,M
217,Sleeper,Ayush Mishra,M,2011-03-03,14,U

218,2AC,Gopal Reddy,M,1956-07-07,69,L
218,2AC,Padma Reddy,F,1960-12-12,65,L

219,3AC,Ritesh Jain,M,1993-08-08,32,SU
219,3AC,Komal Jain,F,1997-09-09,28,SL

220,Sleeper,Ankit Saxena,M,1995-05-05,30,U
220,Sleeper,Priyanka Saxena,F,1998-03-03,27,M
